1  number of sets, Nset
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#1	user_mads generated blade	
    r              m              x_cg           y_cg           ri_x           ri_y           x_sh           y_sh           E              G              I_x            I_y            I_p            k_x            k_y            A              pitch          x_e            y_e        
$1  51
   8.972020e+01   6.589071e+01   1.576254e-01   1.823039e-02   1.903844e-01   5.320317e-01   4.308654e-01   2.798395e-02   1.165551e+10   2.675354e+09   3.557639e-03   1.945796e-02   6.230559e-03   6.174269e-01   2.774152e-01   8.085627e-02  -5.934379e-01   2.215935e-01   1.583922e-02
   9.166282e+01   4.917124e+01   1.114804e-01   1.694011e-02   1.623653e-01   4.901910e-01   3.755127e-01   2.448369e-02   1.103932e+10   2.770217e+09   1.919386e-03   1.330332e-02   3.810187e-03   6.759577e-01   2.703862e-01   6.068912e-02  -6.877480e-01   1.513328e-01   1.523122e-02
   9.356354e+01   3.048719e+01   5.218042e-02   1.455291e-02   1.216161e-01   4.126842e-01   2.979751e-01   1.902283e-02   8.702062e+09   2.554153e+09   7.561226e-04   7.014227e-03   1.681760e-03   7.166113e-01   2.550779e-01   4.273015e-02  -7.932637e-01   7.576478e-02   1.341324e-02
   9.498760e+01   1.865761e+01   1.647258e-02   1.064325e-02   7.972188e-02   2.967193e-01   1.992385e-01   1.311917e-02   6.849639e+09   2.240549e+09   2.194814e-04   2.715987e-03   5.180622e-04   6.856127e-01   2.174924e-01   3.041028e-02  -9.549057e-01   2.300040e-02   1.005356e-02
    r              m              x_cg           y_cg           ri_x           ri_y           x_sh           y_sh           E              G              I_x            I_y            I_p            k_x            k_y            A              pitch          x_e            y_e        
$2  51
   0.000000e+00   1.438853e+03  -4.617640e-03  -3.855945e-03   2.006048e+00   1.941431e+00  -3.177992e-03  -1.040434e-02   1.261238e+17   2.526807e+18   7.177892e+00   7.078010e+00   1.589858e+01   5.452145e-01   7.039023e-01   1.705821e+00   0.000000e+00  -5.352215e-03  -3.552429e-03
   2.216370e+00   1.441433e+03  -5.987412e-03  -4.010179e-03   2.006844e+00   1.941153e+00  -3.935514e-03  -1.056015e-02   1.264188e+17   2.527648e+18   7.196297e+00   7.073676e+00   1.590614e+01   5.456708e-01   7.029698e-01   1.707193e+00   0.000000e+00  -6.899046e-03  -3.628962e-03
   4.115968e+00   1.454888e+03  -1.293188e-02  -6.266057e-03   2.001218e+00   1.935473e+00  -1.756275e-03  -9.324676e-03   1.251170e+17   2.480149e+18   7.367072e+00   7.148588e+00   1.611985e+01   5.504455e-01   6.937263e-01   1.748180e+00   0.000000e+00  -6.738346e-03  -4.522694e-03
   6.015390e+00   1.417051e+03  -1.901177e-02  -5.948599e-03   1.971658e+00   1.922091e+00   6.877521e-03   5.448947e-03   1.232125e+17   2.428220e+18   7.142586e+00   6.897766e+00   1.542321e+01   5.614342e-01   6.738862e-01   1.733324e+00   0.000000e+00  -1.767252e-02  -4.915764e-03
   7.914845e+00   1.347059e+03  -1.568263e-03  -9.052830e-03   1.909007e+00   1.893355e+00   4.111033e-02   1.222193e-02   1.144144e+17   2.208310e+18   6.976831e+00   6.783714e+00   1.467006e+01   5.700726e-01   6.403877e-01   1.781281e+00   0.000000e+00   1.488607e-02  -5.769420e-03
   9.814300e+00   1.269264e+03   2.107306e-02  -4.001785e-03   1.780304e+00   1.891275e+00   1.233509e-01   4.076970e-02   1.095345e+17   2.086808e+18   5.891384e+00   6.794503e+00   1.289443e+01   5.857277e-01   5.847446e-01   1.762639e+00  -4.280395e+01   4.493251e-02   2.759880e-03
   1.171348e+01   1.178928e+03   1.079091e-01   4.358619e-03   1.665343e+00   1.832015e+00   3.199111e-01   7.416534e-02   1.016250e+17   1.902067e+18   5.153422e+00   6.326040e+00   1.074622e+01   5.939148e-01   5.245650e-01   1.765015e+00  -3.590940e+01   1.501332e-01   8.873713e-03
   1.361145e+01   1.099230e+03   1.717531e-01   1.366926e-02   1.521875e+00   1.794728e+00   5.491542e-01   1.101436e-01   9.683212e+17   1.785634e+18   4.289839e+00   5.722005e+00   8.276599e+00   5.913669e-01   4.598905e-01   1.730220e+00  -2.573683e+01   2.244828e-01   1.208449e-02
   1.551217e+01   1.051003e+03   2.797172e-01   2.426696e-02   1.374581e+00   1.768201e+00   8.296218e-01   1.006299e-01   9.337642e+17   1.709740e+18   3.555557e+00   5.291199e+00   6.373655e+00   5.954270e-01   4.070511e-01   1.717032e+00  -1.892689e+01   3.413400e-01   1.805947e-02
   1.709592e+01   1.022741e+03   3.538182e-01   3.355289e-02   1.268950e+00   1.759596e+00   1.027883e+00   1.056257e-01   9.374649e+17   1.739423e+18   2.984894e+00   4.958030e+00   5.070856e+00   6.126975e-01   3.636300e-01   1.664018e+00  -1.427625e+01   4.244334e-01   2.501051e-02
   1.946484e+01   9.376376e+02   4.236268e-01   3.513119e-02   1.155781e+00   1.751045e+00   1.198246e+00   1.140100e-01   8.624633e+17   1.589827e+18   2.508590e+00   4.665727e+00   3.729104e+00   5.779910e-01   3.366770e-01   1.638953e+00  -1.097381e+01   5.320013e-01   2.384174e-02
   2.137149e+01   8.900290e+02   4.679549e-01   4.187704e-02   1.092382e+00   1.758236e+00   1.201393e+00   1.343994e-01   8.437603e+17   1.562263e+18   2.194473e+00   4.401863e+00   3.138236e+00   5.429976e-01   3.333835e-01   1.578575e+00  -8.868246e+00   6.053914e-01   3.152575e-02
   2.327155e+01   8.359962e+02   5.291087e-01   4.548886e-02   1.039387e+00   1.745712e+00   1.288049e+00   1.346902e-01   8.129263e+17   1.503444e+18   1.945299e+00   4.127621e+00   2.567227e+00   4.979723e-01   3.245372e-01   1.527998e+00  -7.621938e+00   6.827650e-01   3.675594e-02
   2.517095e+01   7.921213e+02   5.902260e-01   4.634397e-02   9.912581e-01   1.729372e+00   1.361226e+00   1.297233e-01   7.849815e+17   1.450791e+18   1.739582e+00   3.848347e+00   2.137111e+00   4.561355e-01   3.193267e-01   1.488378e+00  -6.789583e+00   7.658609e-01   3.888620e-02
   2.707035e+01   7.570710e+02   6.442417e-01   4.474070e-02   9.461326e-01   1.707451e+00   1.416703e+00   1.232953e-01   7.693318e+17   1.422516e+18   1.547854e+00   3.570090e+00   1.793533e+00   4.225675e-01   3.159738e-01   1.444170e+00  -6.090295e+00   8.347659e-01   3.797684e-02
